time_days,model_velocity_ms,truth_velocity_ms
1.926838799365085038e+02,-1.904944048052881200e+01,-1.849162373989001296e+01
1.928854552274749494e+02,-1.918402457407891148e+01,-1.863896089671942491e+01
1.930870305184413951e+02,-1.931585511467341831e+01,-1.878360351220987567e+01
1.932886058094078692e+02,-1.944495176193871799e+01,-1.892556467390906505e+01
1.934901811003743148e+02,-1.957133426313457036e+01,-1.906485769548261899e+01
1.936917563913407605e+02,-1.969502244241976285e+01,-1.920149610553238517e+01
1.938933316823072062e+02,-1.981603619047755060e+01,-1.933549363667047771e+01
1.940949069732736518e+02,-1.993439545449592387e+01,-1.946686421484839968e+01
1.942964822642401259e+02,-2.005012022849283682e+01,-1.959562194893907261e+01
1.944980575552065716e+02,-2.016323054398180403e+01,-1.972178112056998245e+01
1.946996328461730172e+02,-2.027374646096875210e+01,-1.984535617420577225e+01
1.949012081371394629e+02,-2.038168805927347194e+01,-1.996636170747735761e+01
1.951027834281059086e+02,-2.048707543016888977e+01,-2.008481246175579216e+01
1.953043587190723542e+02,-2.058992866832991808e+01,-2.020072331296808343e+01
1.955059340100388283e+02,-2.069026786408575447e+01,-2.031410926265233030e+01
1.957075093010052740e+02,-2.078811309596755308e+01,-2.042498542924936089e+01
1.959090845919717196e+02,-2.088348442354486778e+01,-2.053336703962825283e+01
1.961106598829381653e+02,-2.097640188054343469e+01,-2.063926942084203375e+01
1.963122351739046110e+02,-2.106688546823761499e+01,-2.074270799211158689e+01
1.965138104648710566e+02,-2.115495514911005870e+01,-2.084369825703326740e+01
1.967153857558375307e+02,-2.124063084077218377e+01,-2.094225579600815834e+01
1.969169610468039764e+02,-2.132393241013811291e+01,-2.103839625888863907e+01
1.971185363377704221e+02,-2.140487966784596097e+01,-2.113213535783983232e+01
1.973201116287368677e+02,-2.148349236291892339e+01,-2.122348886041160654e+01
1.975216869197033134e+02,-2.155979017766063066e+01,-2.131247258281821999e+01
1.977232622106697590e+02,-2.163379272277730792e+01,-2.139910238342183746e+01
1.979248375016362331e+02,-2.170551953272105905e+01,-2.148339415641649097e+01
1.981264127926026788e+02,-2.177499006124761038e+01,-2.156536382570865129e+01
1.983279880835691245e+02,-2.184222367718234281e+01,-2.164502733899125175e+01
1.985295633745355701e+02,-2.190723966038889969e+01,-2.172240066200696162e+01
1.987311386655020158e+02,-2.197005719793365586e+01,-2.179749977299752217e+01
1.989327139564684899e+02,-2.203069538044112363e+01,-2.187034065733536536e+01
1.991342892474349355e+02,-2.208917319863359552e+01,-2.194093930233382395e+01
